Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2002 BMW e46 2.0 318i post facelift,2002,BMW,e46 2.0 318i post facelift,3900000,,automatic,235000,Santiago,"BMW E46 del año 2002 con un motor de 2.0 litros y 235,000 kilómetros recorridos. Este vehículo tiene características destacadas: Frenos nuevos: Pastillas de freno cerámicas y discos nuevos Zimmerman. Mantenimiento reciente: Caja y motor revisados hace 15,000 km y 2,000 km respectivamente. Transmisión automática: 5 velocidades y 3 modos :automatico/sport/manual. Seguridad avanzada: Control de tracción, ABS y airbags. Comodidad interior: Aire acondicionado, sunroof, retrovisores eléctricos y cámara de retroceso. Entretenimiento moderno: Pantalla plug and play con USB, Bluetooth y controles en el volante. Funcionalidad adicional: Control de crucero, cierre centralizado y alarma. Estética deportiva: Llantas asimétricas aro 17 del modelo “look M”. Tiene detalles estéticos en el exterior que arreglar, tengo el parachoque trasero, pero hay que pintarlo para igualar al color de la carrocería, para mas detalles al interno Lo muestro en la florida Si esta publicado, esta disponible",['detalles menores'],https://web.facebook.com/marketplace/item/818899626922095/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 BMW series 5,2010,BMW,series 5,9890000,,automatic,125000,María Pinto,SE VENDE O SE PERMUTA BMW 523i AÑO 2010 FULL CUERO MOTOR 2.5 CAJA AT CLIMATIZADOR VELOCIDAD CRUCERO ESCOTILLA MALETERO ELÉCTRICO VIDRIOS POLARIZADOS 120.XXX KM REALES ENTRE MÁS COSAS VEHÍCULO AL DÍA TRASFERENCIA INMEDIATA PRECIO FIJO SE RECIBE VEHÍCULO EN PARTE DE PAGO PERMUTA 11M MÁS INFO AL [hidden information],"['al dia', 'parte']",https://web.facebook.com/marketplace/item/816169343672280/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 BMW series 3,2008,BMW,series 3,4000000,,automatic,1000,Santiago,"Lo compre con detalles de caja nunca le hicieron cambio de aceite a la caja costaba mucho que entraran los cambios. Yo lo recupere le pusimos aditivo para recuperar un poco el aceite logrando que entraran todos los cambios, tienen que andarlo mínimos 150 kilómetros con el aditivo y hacerle el cambio de aceite a la caja conjunto con el filtro y queda listo el problema que tenía ya entran los cambios y todo pero no lo ocupo ya que por falta de espacio y tiempo no e podido darle el rodaje. Ideal cambiarle bomba de agua por seguridad yo lo ocupo de ves en cuando y no tiene problemas pero tiene su consumo de agua dependiendo la distancia solo por seguridad. Esta revisión técnica al día falta seguro y permiso tiene multas y se supone que está en prenda pero hablando con el dueño anterior me dejo transferencia abierta y todo el tema. Prenda antigua. Estuvo votado mucho tiempo tiene sus detalles pero el autito muy cómodo versión full aire acondicionado todo precio conversable.","['conversable', 'al dia', 'multas']",https://web.facebook.com/marketplace/item/4102988583261446/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 BMW series 3,2008,BMW,series 3,6750000,,automatic,145000,Talagante,"Se vende el regalón, solo por apuro económico y por nuevos proyectos. El valor puede ser conversable. Motor 2.0, top de línea con sunroof, automático, asientos de cuero y más… cualquier dato al whatsap [hidden information]. No permuto!!",['conversable'],https://web.facebook.com/marketplace/item/319354131144413/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 BMW x1 x-line,2014,BMW,x1 x-line,8990000,,automatic,117000,Santiago,BMW X1 versión X-line Motor 2.0 bencinero turbo Transmisión automática Sunrooof 116.xxx kilometraje Documentos al día transferible,['al dia'],https://web.facebook.com/marketplace/item/1735482846978679/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 BMW 318i trip tronic,2009,BMW,318i trip tronic,6100000,,automatic,17000,Quilpué,SE VENDE ULTIMO MES AUTO EN BUENAS CONDICIONES CUALQUIER COSA INBOX PRECIO UNICO SE VENDE POR VIAJE,[],https://web.facebook.com/marketplace/item/348811508153383/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 BMW x1,2018,BMW,x1,9500000,,automatic,96000,Puente Alto,"Papeles al dia, transferible, sin multas, es de aseguradora por eso el valor, tiene detalles esteticos, funciona bien de motor y caja, 96.000 km, bencinero Tiene un mensaje de revision de propulsion proximamente, funciona normalmente el auto","['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/972539477798159/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 BMW series 3,2011,BMW,series 3,9000000,,automatic,147000,Peñaflor,BMW 325i Año 2011 Motor 2.5 Automático 147.000Km Blanco Bencinero Pantalla CarPlay Escape libre 2 llaves Camara de retroceso Precio conversable,['conversable'],https://web.facebook.com/marketplace/item/247259911798022/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 BMW series 3,2006,BMW,series 3,8000000,,automatic,130000,Santiago,"¡Oportunidad única! 🚀 Vendo BMW 330i 2006, un verdadero clásico con un motor aspirado de 3.0 litros y 280 HP. Este auto ha sido cuidado meticulosamente y está en excelente estado: 🛠️ Mantenimiento recién hecho ✅ - Kilometraje: 130,xxxkm - Amortiguadores nuevos de Alemania 🇩🇪 - Pintura exterior y llantas recién renovadas con pulitura ✨ - Línea de escape con resonador Borla y colas M para un sonido deportivo 🎶 - Asientos y retrovisores electrónicos 🚗 - Tapicería y plásticos interiores impecables, sin detalles 🔥 - Lámina de seguridad en todos los vidrios El auto es una máquina pueden venir con 10 mecánicos si quieren está impecable y muy muy bien cuidado ❤️ Acepto permutas más dinero a mi favor",[],https://web.facebook.com/marketplace/item/366077916240218/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 BMW x1,2010,BMW,x1,8400000,,automatic,135000,Quilpué,"Totalmente Transferible , a mi nombre ... papeles al dia , uso diario , poco kilometraje para el año , motor bencinero 2.0 y caja automatica , buen estado , neumaticos 70% , rev tecn julio 2024 , permiso circulacion pago total hasta 2025 ...NO SE PERMUTA ... poco conversable ... interazados solicitar numero de whatsaap .. y si esta publicado esta disponible ..","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/918898256446007/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 BMW x1,2014,BMW,x1,4690000,,automatic,190000,Cerrillos,"Vendemos o recibimos vehículo en parte de pago, motor e interiores impecables , A TODA PRUEBA. 2da Dueña 190 km UNICO DETALLE ELECTRICO NO ENCIENDE .- Motor 2.0 Cc (De 15,4 a 19,2 km x litros) DIESEL .- 4 Airbags .- Version con pantalla completa .- 5 llantas de aleación OPORTUNIDAD Consultas serias llamar al 9️⃣ 3️⃣4️⃣6️⃣7️⃣0️⃣5️⃣7️⃣5️⃣ Mundo Automotriz Oeste PRECIO CONVERSABLE podría recibir todo tipo de vehículos ejemplo.. a spark lt gt cruze sonic aveo sail onix prisma orlando captiva dmax silverado optra suzuki vitara jimmy swift baleno gran nomade celerio baleno hyundai elantra sonata accent i10 volkswagen gol vento voyage golf saveiro fiat punto kia morning cerato sportage sorento frontier Rio5 impreza forester chery iq tiggo fulwin zna grand tigger zx dfsk dongfeng asia hafei changan nissan v16 sentra murano qashqai dodge ram dakota durando toyota yaris sport corolla 4runner rubicon jeep wragler bmw 235 240 116 330 m2 m3 m4 x6 x5 gt camaro srt kia frontier byd mi","['conversable', 'parte']",https://web.facebook.com/marketplace/item/1374096053298953/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 BMW 520i turbo 2014 motor malo,2014,BMW,520i turbo 2014 motor malo,6950000,,automatic,150000,Santiago,Liquido bmw 520i turbo executive motor malo Documentos atrasados transferible No de remate no de cia de seguro Ver en salvador Allende 243 San Joaquín ➕5️⃣6️⃣9️⃣ 9️⃣6️⃣4️⃣8️⃣5️⃣4️⃣9️⃣5️⃣,"['atrasados', 'malo']",https://web.facebook.com/marketplace/item/406257968715606/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 BMW 116i sport,2012,BMW,116i sport,7990000,,automatic,158000,Rancagua,"Se vende bmw 116i modelo sport - permiso de circulación pagado, al día - 4 modos de conducción eco, normal, sport, sport+ - sunroof - caja automática de 8 cambios -cambio de pastillas en las 4 ruedas recién realizado - cambio de aceite recién realizado Más detalles por Interno +5️⃣6️⃣9️⃣3️⃣2️⃣3️⃣7️⃣4️⃣8️⃣3️⃣6️⃣",['al dia'],https://web.facebook.com/marketplace/item/971289741052345/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
