Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2022 Chevrolet sail smart,2022,Chevrolet,sail smart,3800000,,automatic,54000,Santiago,"Auto en prenda y atrasado el permiso de circulación.
año 2022
Dueño directo",['atrasado'],https://web.facebook.com/marketplace/item/311327251979392/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Chevrolet cruze,2017,Chevrolet,cruze,10000000,,automatic,80000,Peñaflor,"*SE VENDE* CHEVROLET CRUZE (Turbo) LTZ Año 2017 full motor 1.4 turbo con 83.000 km (Mantención de los 80.km realizada) 2do dueño Botón de encendido Encendido a distancia aparcadero automático Documentos 2023 al día trasferible Computador a bordo Caja de cambios automática 6ta 6 airbags Climatizador Bizona Sistema de anclaje Isofix Sistema de Detección de punto ciego Butacas de cuero 3 modos conducción Radio 9"" con funciones del vehículo apple carplay, Android Auto GPS Integrado en la radio BLUETOOTH Carga inalámbrica 9 Parlantes buen sistema de sonido Cámara + sensor de retroceso Sunroof eléctrico Apertura maletero a distancia Llantas 17 del modelo Luces automáticas, neblineros",['al dia'],https://web.facebook.com/marketplace/item/956956796150563/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Chevrolet tracker,2017,Chevrolet,tracker,8500000,,automatic,80000,Recoleta,Chevrolet tracker 2017 full cuero Nunca chocada Aire acondicionado Con sunroof Automática Llantas Transferible Papeles al día Mantenciónes al día Niun parte Conversable,"['conversable', 'al dia', 'parte']",https://web.facebook.com/marketplace/item/971173897698108/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Chevrolet captiva,2012,Chevrolet,captiva,6000000,,automatic,127000,Lampa,"ÚLTIMO PRECIO!!! Vendo por apuro excelente condiciones, motor 💯 caja de cambios 💯 versión full, 3 corridas de asientos, cuero. Si Está Publicado es por que si está Disponible! Reales interesados!",[],https://web.facebook.com/marketplace/item/661370269407166/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Chevrolet traverse iii lt adw 3.6cc,2013,Chevrolet,traverse iii lt adw 3.6cc,7400000,,automatic,185000,Buin,"Nooooooooo Permutassssssss. Es la de 3 corridas de asientos . Versión más full . En buen estado de motor y caja . se entrega con permiso al día hasta agosto 2024 . Sin multas ni partes , 1 llave, Andando impecable . Solo detalles de la pintura por el sol . Valor de dejarlo impecable 300 a 400 pero No lo e pintado Yo , Por que la gente puede pensar tuvo un choque cosa que no es así . Pueden revisar con mecánico , interior impecable . - Detalles : cambiar fucible o actualizarla la pantalla trasera que va en el techo . - cambiar catálitico . Solo reales interesados","['al dia', 'choque']",https://web.facebook.com/marketplace/item/258693187296947/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Chevrolet silverado,2006,Chevrolet,silverado,3390000,,automatic,296000,Santiago,"Chevrolet silverado, año 2006, automática, andando impecable sin detalles mecánicos, muy bien cuidada, $3.390.000.....solo venta multas de tag",['multas'],https://web.facebook.com/marketplace/item/2087179288411320/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Chevrolet tracker,2014,Chevrolet,tracker,7600000,,automatic,42000,Santiago,"Chevrolet tracker 2014 automática, con 42 mil kilómetros en buen estado y documentación al dia.",['al dia'],https://web.facebook.com/marketplace/item/773819661366655/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Chevrolet colorado,2008,Chevrolet,colorado,3000000,,automatic,250000,San Ramón,Precio es conversable no transferible,"['conversable', 'no transferible']",https://web.facebook.com/marketplace/item/734841748845785/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002 Chevrolet otro,2002,Chevrolet,otro,1600000,,automatic,11000,Curacaví,Vendo camioneta Chevrolet zafira año 2002 hay que arreglarle el motor tengo todos los papeles tengo la transferencia igual [hidden information],[],https://web.facebook.com/marketplace/item/1918478998568508/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Chevrolet epica,2005,Chevrolet,epica,2600000,,automatic,130000,Santiago,Chevrolet epica año 2005 transferible con todos sus papeles al día hasta 2025 km 130.xxx y contando precio conversable,"['conversable', 'al dia']",https://web.facebook.com/marketplace/item/720353666931400/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
