Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2002 Hyundai sonata,2002,Hyundai,sonata,1500000,,automatic,170000,Maipú,"Vendo hyundai sonata año 2002, automático muy bien cuidado, solo detalles estéticos transferible.",['detalles menores'],https://web.facebook.com/marketplace/item/1062747001491578/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002 Hyundai santa fe,2002,Hyundai,santa fe,3200000,,automatic,114000,Villa Alemana,Radio con bluetooth.camara reverse..7 asientos..neumaticos al 90%..registracion marzo 2025..revision tec sept ..central looking alarma alza vidrios elec. Sello amarillo.,[],https://web.facebook.com/marketplace/item/1140377203807553/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Hyundai santa fe,2011,Hyundai,santa fe,7900000,,automatic,189000,Las Condes,"Una sola dueña, motor cambiado por garantia Hyundai, modelo Limited, Automática, muy bien mantenida, excelente estado, cuero, techo, etc,etc,",[],https://web.facebook.com/marketplace/item/907414921081763/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Hyundai tucson,2007,Hyundai,tucson,3400000,,automatic,298000,Puente Alto,Transferible sin problema documentacion al dia Automatica 4x4 Bencinera Ultimo precio 3.400.000 Disponible para revision,['al dia'],https://web.facebook.com/marketplace/item/776809074166446/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Hyundai santa fe,2015,Hyundai,santa fe,4500000,,automatic,176000,Rancagua,⚫️VENDO HYUNDAI SANTA FE EN PRENDA⚫️ PRENDA PRENDA PRENDA PRENDA -AÑO 2015 -AUTOMÁTICA -DIESEL -4x2 -TRES CORRIDAS DE ASIENTO -ASIENTOS DE LONA -COMANDO AL VOLANTE -2 LLAVES -AIRE ACONDICIONADO -EN PRENDA -SIN MULTAS -AL DIA -EXCELENTE ESTADO SIN DETALLES -SOLO REALES INTERESADOS. NO PERMUTO ‼️,['al dia'],https://web.facebook.com/marketplace/item/1322076408471003/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Hyundai elantra,2013,Hyundai,elantra,3150000,,automatic,180000,Puente Alto,Vendo Hyundai elantra año 2013 1.8 automatico Full equipo Tiene bastantes multas de tag La mayoría están para prescribirán Transferible Papeles atrasados Excelente estado Andando muy bien Precio combersable Llamar al 9️⃣4️⃣2️⃣7️⃣3️⃣9️⃣6️⃣4️⃣0️⃣,"['atrasados', 'multas']",https://web.facebook.com/marketplace/item/1099134318080496/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Hyundai i30,2013,Hyundai,i30,7500000,,automatic,6000,Santiago,Interesado hablar tranferencia inmediata permiso de circulación al día,['al dia'],https://web.facebook.com/marketplace/item/277417882119445/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004 Hyundai santamo,2004,Hyundai,santamo,2200000,,automatic,194000,Santiago,HYUNDAI SANTAMO AÑO 2004 INMACULADA ME ATREVO A DECIR QUE POCAS EN BUEN ESTADO DE CONSERVACION COMO ESTA. LAS FOTOS HABLAN POR SI SOLAS CONSTA CON LAS SIGUIENTES ATRIBUCIONES * TRES FILAS DE ASIENTO * ALZAVIDRIOS 4 PUERTA * CIERRE CENTRALIZADO * AIRE ACONDICIONADO * ESPEJOS RETROVISORES ELECTRICOS * ATENUADOR DE LUCES *LLANTAS DE ALEACION *TAPIZ FELPA EN INMEJORABLE CONDICIONES DETALLES * PERMISO DE CIRCULACIÓN ATRASADO. * UNAS MULTAS ANTIGUAS QUE SE PUEDEN NEGOCIAR DEL PRECIO,"['atrasado', 'multas']",https://web.facebook.com/marketplace/item/949540226794720/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Hyundai tucson,2008,Hyundai,tucson,4490000,,automatic,150000,Lo Barnechea,"SINMULTAS NI PARTES. Tercer dueño. Revisión 2025. Uso familiar, mantenciones al día. EL VEHÍCULO NO TIENE DETALLES MECÁNICOS. Detalle estético en maleta de atrás. Lo compramos así y nunca nos importó. Aire acondicionado. Dos copias de llave originales y de control. 150 mil kilómetros, bencinero 2.0 cc. Full, aire vidrios, cierre, alarma, etc. NO ES 4X4. Radio original.",['al dia'],https://web.facebook.com/marketplace/item/430383996179692/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1997 Hyundai sonata,1997,Hyundai,sonata,650000,,automatic,243000,La Granja,Vehiculo cuenta con : Alza vidrios Direccion hidraulica Cierre centralizado Aire acindicionado Radio cd Detalles Papeles atrasados No transferible Valor conversable,"['conversable', 'atrasados', 'no transferible']",https://web.facebook.com/marketplace/item/7173939256062662/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
