Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2017 Hyundai accent,2017,Hyundai,accent,5000000,,manual,10000,Melipilla,Se vende auto por renovación dudas y consultas por interno está al día y transferirle.,['al dia'],https://web.facebook.com/marketplace/item/944881903831831/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Hyundai grand i10,2019,Hyundai,grand i10,5500000,,manual,75000,San Bernardo,"Chicos, pongo en venta mi Hyundai Grand i10 del 2019 con solo 75,000 kilómetros. Les cuento algo, siempre he cuidado mucho mi carro y lo más importante es que su motor está en perfecto estado. Sí, tiene unos detalles estéticos aquí y allá, pero nada que afecte cómo anda. A pesar de esos pequeños detalles, siempre he cuidado mi Grand i10, y debajo del capó está impecable y listo para seguir andando sin problemas. Tiene todos sus papeles al dia, le cambie los cuatro amortiguadores, neumaticos nuevos, le hice alineacion y balanceo quedando andando muy rico. Si estás buscando un carro que te rinda y que esté bien cuidado, este Grand i10 es tu opción. Si les interesa, no duden en contactarme.","['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/1003866104682307/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Hyundai eon,2014,Hyundai,eon,3500000,,manual,96000,Melipilla,"En venta ..hyundai eon 2014
96.000 km, papeles al día, transferible, con llantas
3.500.000",['al dia'],https://web.facebook.com/marketplace/item/873996997832888/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Hyundai gran i10,2019,Hyundai,gran i10,4000000,,manual,91000,Santiago,Se vende el regalón único dueño versión full 1.2 año 2019 con multas por eso el precio.,['multas'],https://web.facebook.com/marketplace/item/3932820636933170/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Hyundai i10,2014,Hyundai,i10,3800000,,manual,157000,Peñaflor,Vendo por renovacion todo al dia permiso pagado sin ningun problema andando al 100 Precio conversable Se encuentra en Peñaflor,"['conversable', 'al dia']",https://web.facebook.com/marketplace/item/945755960885153/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Hyundai accent,2015,Hyundai,accent,4700000,,manual,203000,Maipú,"AL DIA Y TRANSFERIBLE CUANTA CON RADIO CON PANTALLA, MANDO AL VOLANTE, CAJA SEXTA, CAMARA DE RETROCESO, LLANTAS, NEUMATICOS COMO NUEVOS, POLARIZADO, NEBLINEROS MODELO SIN A/C",['al dia'],https://web.facebook.com/marketplace/item/948740136806665/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai accent,2012,Hyundai,accent,4000000,,manual,300,Independencia,Vendo auto por motvos familiares y por falta d seriedad el auto está al día listo para tranferencia es la vercion fulll motor y caja original puede traer mecánico sin problemas cuál quier consulta pregunte nomas muchas gracias,['al dia'],https://web.facebook.com/marketplace/item/954645756221965/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Hyundai eon,2013,Hyundai,eon,3000000,,manual,160000,Santiago,"Vehículo excelente estado mecánico, mantención 150000 completa, sistema frenos nuevo, radiador nuevo, bujías y cable bujías nuevos, cambio aceite y filtros al día, papeles al día revisión técnica y permiso de circulación solo detalles de pintura. Conversable","['conversable', 'al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/300438716195303/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Hyundai i10,2017,Hyundai,i10,4790000,,manual,100000,Maipú,No description,[],https://web.facebook.com/marketplace/item/961943598935808/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai i10,2012,Hyundai,i10,3100000,,manual,117000,San Bernardo,Auto en muy buen estado conversable . 117.000 kilómetros. Transmisión manual. Sin aire acondicionado Mecánicamente ecxelente. Papeles al día transferible.,"['conversable', 'al dia']",https://web.facebook.com/marketplace/item/224219630779096/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Hyundai grand i10,2016,Hyundai,grand i10,4500000,,manual,196000,Recoleta,"-Vehiculo al día 
-Tranferible
-Conversable
-Detalles estéticos","['conversable', 'al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/773792708014981/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
