Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2021 Kia sonet,2021,Kia,sonet,6700000,,manual,30000,Padre Hurtado,🟡VENDO KIA SONET EX 1.5 🟡 💲6.700.000.- AÑO : 2021 KM : 30.000 COLOR : AZUL GRIEGO COMBUSTIBLE : GASOLINA TRANSMISIÓN : MANUAL NO POSEE PRENDA NO POSEE MULTAS NO ACTIVO AIR BAG FUNCIONANDO PAPELES AL DÍA 🟡TRANSFERIBLE ✔️ !!SOLO REALES INTERESADOS !! 📲 📞[hidden information] 🔘SOLO VENTA 🔚🔚🏁,"['al dia', 'multas']",https://web.facebook.com/marketplace/item/1485533675722687/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Kia morning,2012,Kia,morning,3500000,,manual,97000,Santiago,Auto Kia morning año 2012 en excelente condiciones como se muestran en las fotografías económico documentacion Al día hasta el año 2025 sin multas solo personas Serias motor en excelentes condiciones a toda Prueba,['al dia'],https://web.facebook.com/marketplace/item/384695987743270/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Kia rio,2019,Kia,rio,5950000,,manual,65000,San Antonio,"Se vende Kia Río 5 2019 Motor 1.4 mecánico 65.000 km Cierre centralizado Alzavidrios eléctrico Apple CarPlay y Android Auto Detalles: Airbags activos (no operativos) Fue chocado pero reparado Sin A/c Precio vehículo: $5.950.000 Precio mercado: $8.900.000 Es muy poco conversable Vehículo está al día en revisión técnica y permiso de circulación 2024 Solo hablo por wsp, si realmente interesad@ pídeme el número","['conversable', 'al dia', 'chocado']",https://web.facebook.com/marketplace/item/1444455392871136/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Kia frontier,2019,Kia,frontier,4000000,,manual,150000,Santiago,Se vende en prenda  tiene un sonido el motor  es el.mas full lo vendo por renovación conbersable,[],https://web.facebook.com/marketplace/item/1484419172495971/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Kia frontier doble cabina barato,2017,Kia,frontier doble cabina barato,6800000,,manual,143000,Santiago,Kia Frontier • Doble Cabina | Año 2017 | 143.822 KM • 2.5 • Diésel • Alza vidrios • Aire Ac • Airbag buenos | 1 Solo Dueño | $6.800.000.- Oferta | Valor Comercial Aprox $12.000.000.- | Transferible | Más info WhatsApp [hidden information],[],https://web.facebook.com/marketplace/item/1807784526391910/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Kia soul,2011,Kia,soul,3850000,,manual,131000,Maipú,Vendo Kia Soul uso familiar poco kilometraje muy buen estado totalmente Transferible Full con aire en perfectas condiciones Todo al día hasta el 2025 ￼,['al dia'],https://web.facebook.com/marketplace/item/956234346132664/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Kia rio,2019,Kia,rio,7700000,,manual,71000,Macul,KIA RIO 4 2019 UNICO DUEÑO MANTENCIONES AL DIA PRECIO CONVERSABLE SIEMPRE CON FUNDAS INTERIOR BIEN CUIDADO 71.000 KM RADIO DESBLOQUEADA AIRE ACONDICIONADO ABS,"['conversable', 'al dia']",https://web.facebook.com/marketplace/item/211441775390680/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Kia cerato 5,2015,Kia,cerato 5,8300000,,manual,127000,San Bernardo,Se vende por Solo por proyecto familiar ya que el vehículo está en perfecto estado funcionando al 100%. Auto en excelente estado. Aire acondicionado Llantas 17 Pantalla touch Soonrof(techo panorámico) Vidrios anti robos (lámina de seguridad) Chip GPS cortacorriente 127.000km reales. Año 2015 2 dueños Maletero amplio y en general un auto muy cómodo y económico. Motor 1.6,[],https://web.facebook.com/marketplace/item/909111330692116/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Kia morning,2019,Kia,morning,6400000,,manual,63000,Independencia,"Impecable y hermoso súper económico Kia morning 2019 Motor 1.2 Full equipo Cámara y sensor de retroceso Cierre centralizado Alzavidrios 4 puertas Espejos eléctricos abatibles Aire acondicionado Neblineros Doble airbag Pantalla Bluetooth Comando al volante Excelente estado, completamente al día. Permiso circulación hasta 2025",['al dia'],https://web.facebook.com/marketplace/item/2399361093580566/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Kia cerato,2007,Kia,cerato,1900000,,manual,8000,Melipilla,Vendo kia cerato año 2007 andando ala llave papeles al dia hasta 2025 sin deudas ni multas trasferible detalles de lata pintura como se aprecia en las fotos motor y caja impecable sin fugas super economico y espacioso reales interesados….,['al dia'],https://web.facebook.com/marketplace/item/1333344213980784/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
