Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
1999 Mazda 626,1999,Mazda,626,1550000,,automatic,270000,Maipú,￼vendo mazda 626 año 99 automatica full equipo andando impecable sin multas ni deudas papeles al dia Transferible,['al dia'],https://web.facebook.com/marketplace/item/416443697805299/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Mazda 6,2010,Mazda,6,4850000,,automatic,107000,Santiago,"Al dia, transferencia la paga el comprador. Pintura de Techo y maleta soplada por el sol. Neumaticos delanteros nuevos, traseros al 90% Elementos nuevos con boleta Bomba de Agua Refrigerante Correa Tensor Mantenimiento todos los filtros y fluidos.",['al dia'],https://web.facebook.com/marketplace/item/393886860164004/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Mazda cx-9,2011,Mazda,cx-9,5600000,,automatic,182000,Santiago,MAZDA CX9 GT FULL CUERO TOPE DE LINEA UNA MARAVILLA DOCUMENTO AL DIA SIN MULTAS Y DEUDAS TRES CORRIDAS DE ASIENTO HASTA 8 PASAJEROS DETALLES EN MASCARA Y PLASTICO COMO SE APRECIA VERLA ES COMPRARLA * UN LUJO VENDO O PERMUTO POR AUTO,['al dia'],https://web.facebook.com/marketplace/item/878833477266040/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Mazda 2 skyactiv sport,2016,Mazda,2 skyactiv sport,8790000,,automatic,54000,Santiago,"Full equipo y en impecables condiciones, motor 1.5, mecánico con solo 54.000 km, Carplay, Aire, ABS y más.",[],https://web.facebook.com/marketplace/item/444271921502202/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2001 Mazda 626,2001,Mazda,626,1850000,,automatic,5000,Puente Alto,Vendo mi mazda 626 station wagon año 99 realmente inpecable al dia y transferible sin deudas ver y tratar en puente alto,['al dia'],https://web.facebook.com/marketplace/item/956185502519555/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004 Mazda mazda3,2004,Mazda,mazda3,3300000,,automatic,244000,Pudahuel,"Mazda 3 sport Automático de uso diario, todos sus papeles al día, tiene detalles estéticos por el año, soy el 2do dueño, transferible, tiene dos multas no graves.","['al dia', 'detalles menores', 'multas']",https://web.facebook.com/marketplace/item/3230453273915490/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Mazda 3,2018,Mazda,3,5850000,,automatic,85000,Rancagua,VEHICULO DE ASEGURADORA (Activo airbag) Mazda 3 2018 1.6 full 85 mil kms Al dia Transferible *SE ACEPTA OFERTA CONCRETA*,['al dia'],https://web.facebook.com/marketplace/item/390171203968003/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda cx-7,2008,Mazda,cx-7,1111111,,automatic,20000,La Reina,"Vendo recibo auto del mismo valor y condición,. Es 2008 full cuero muy rica prenda, cambio por auto menor valor muy buena maquina. Los leo inbox",[],https://web.facebook.com/marketplace/item/405670135496178/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Mazda 2,2018,Mazda,2,9999990,,automatic,70000,Quilpué,Mazda 2 automático Año 2018 70000 km Motor 1.5 Rendimiento 22km x litro en carretera Cuenta con GPS Único dueño Tapiz original nuevo con protección a medida en excelente estado PERMISO CIRCULACIÓN MARZO 2024 OK,[],https://web.facebook.com/marketplace/item/2095973410773993/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Mazda 3 1.6 full 37.000kms,2018,Mazda,3 1.6 full 37.000kms,7150000,,automatic,37000,Maipú,Se encuentra al.dia 37.000kms Llantas Aire acondicionado Alarma 2 dueños Vehiculo siniestrdo pero reparado 100% operativo,[],https://web.facebook.com/marketplace/item/344134131954789/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Mazda 3,2005,Mazda,3,4580000,,automatic,110000,Maipú,"Mazda 3 2005, full equipo, excelente estado -full equipo -motor 1.6 cc -AUTOMATICO -MISMA DUEÑA HACE 11 AÑOS APROX -llantas de fabrica -control de radio al volante -apertura de portalon a distancia -entre otros. Formas de pago -contado -tarjeta de credito *recibo vehiculo en parte de pago",['parte'],https://web.facebook.com/marketplace/item/407104055342485/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004 Mazda mpv,2004,Mazda,mpv,1600000,,automatic,286402,Renca,"Problema en 1 cilindro, está para repuesto, ya que está muchos años parado y adeuda permisos",['repuesto'],https://web.facebook.com/marketplace/item/25310415815223617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Mazda 3,2006,Mazda,3,4950000,,automatic,135000,Rancagua,¡ HABLAR SOLO INTERESADOS NO PREGUNTONES ! Se vende Mazda 3 2006 1.6 automático full Polarizado americano completo Aire acondicionado Abs Airbag Cuenta con todos sus mantenimientos El auto está llegar y andar doy más detalles por interno Precio conversable en persona,['conversable'],https://web.facebook.com/marketplace/item/3274030529573015/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
