Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2015 Mazda cx-5,2015,Mazda,cx-5,6000000,,manual,150000,Melipilla,buen auto fue mio durante 6 años nunca tube problemas de nada vehículo de aseguradora papeles al día no multas de tag no partes se vende solo por renovación,['al dia'],https://web.facebook.com/marketplace/item/1146412126394668/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Mazda 3,2019,Mazda,3,7700000,,manual,32000,Santiago,"Vehiculo hace años comprado a cia de seguro. De uso familiar diario. En perfectas condiciones, todo funcionando en perfecto estado. Se puede ver en el rosal con la farfana, maipu Documentos al dia, sin partes ni multas 32.000 km reales, solo se vende por renovación",['al dia'],https://web.facebook.com/marketplace/item/1431416131096270/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1998 Mazda b-2200,1998,Mazda,b-2200,1700000,,manual,242000,Colina,Vehículo con revisión técnica atrazada octubre del 2023; se vende por cambio de proyecto,[],https://web.facebook.com/marketplace/item/1560998851329251/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Mazda cx-3 r skyactive mt,2019,Mazda,cx-3,3600000,,manual,72000,Santiago,"🚨 Valor publicado es el pie mínimo para el Financiamiento ✅ Estado del Auto: EXCELENTE 📑 Documentos: Al Día listo para firmar 🏦 Financiamiento: Hasta de 48 cuotas 💵 Pie Mínimo de 30% según su perfil 🚘 Recibimos su Auto en Parte de Pago 💳 Tarjeta de crédito,débito,vale vista,efectivo 📅 Agenda Hora para Test Drive 📱Contáctame: [hidden information]","['al dia', 'parte']",https://web.facebook.com/marketplace/item/250782478101410/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Mazda cx-5,2015,Mazda,cx-5,6000000,,manual,150000,La Granja,Muy buen vehiculo fue mio durante 6 años aprox... motor 2.0 150 mil km Papeles al dia es de remate valor 6 millones conversable se vende solo por renovacion interesados hablar al numero [hidden information],"['conversable', 'al dia']",https://web.facebook.com/marketplace/item/1649935815767880/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Mazda 3,2007,Mazda,3,3000000,,manual,27000,Ñuñoa,Vendo mi vehículo mantenciones al día permiso de circulación asta el 2025 papeles otro al días igual batería nueva bujías cambiadas cambio de aceite también detalles mínimos estéticos por el año y vendo en ese precio solo por motivos personales,"['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/900622818472935/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Mazda 6,2015,Mazda,6,5980000,,manual,190000,Santiago,"VENDO POR RENOVACION MAZDA 6 SKYACTIV MECANICO 190KM AIRE ACONDICIONADO FUNCIONANDO DOCUMENTOS AL DIA SIN MULTAS LLANTAS R20 2 LLAVES - TIENE DETALLES ESTETICOS QUE SE VEN EN LAS FOTOS , NO TIENE CHOQUES FUERTES NI ES DE REMATE . (SOLO DETALLES POR MAL CUIDADO)","['al dia', 'detalles menores', 'choques']",https://web.facebook.com/marketplace/item/373457862182484/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Mazda 3,2017,Mazda,3,4850000,,manual,126000,Santiago,"Vendo Mazda 3 Skyline año 2017 andando muy bien caja sexta motor 2.0 super rápido documentación al día versión Full pantalla,botón Star. PRENDA Y MULTAS DUEÑO DIRECTO. SE ENTREGA EN NOTARIA. FAVOR ENTENDIDOS CONVERSABLE EN PERSONA.[hidden information]","['conversable', 'al dia', 'multas']",https://web.facebook.com/marketplace/item/1084005832871601/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda 2,2012,Mazda,2,4000000,,manual,155000,Padre Hurtado,Motor 1.5,[],https://web.facebook.com/marketplace/item/1146525316364961/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1995 Mazda artis,1995,Mazda,artis,1200000,,manual,111000,Quilpué,Auto andando tienes detalle en los amortiguadores papeles atrazados auto esta a mi nombre solamente lo vendo por apuro vola te se desmonta cualquier informacion consultar precio comversable o se permuta recibo ofertas,[],https://web.facebook.com/marketplace/item/1840566136393113/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
